40 5	
1 1 	-4.115757705900   	 0.45006024262049  	1
2 1	 -4.731571342125   	 0.44081046289203   	10
3 2	 -4.908805650988 	 0.43829295983967   	101
3 1 	 -5.042458337013 	 0.43643380310328 	100
4 3 	 -4.819662437324 	 0.43955162580879 	1011
4 2 	 -5.152125820199 	 0.43493266786728 	1001
4 1 	 -5.183231937739 	 0.43451073749300 	1000
5 6 	 -4.855746771271 	 0.43904028354789 	10111
5 5	 -4.888468772754 	 0.43857877608183 	10110
5 4 	 -5.080612881325 	 0.43590910561455 	10010
5 3 	 -5.100736927040 	 0.43563340657720 	10011
5 2 	 -5.235721022898 	 0.43380268888431 	10001
5 1 	 -5.243108090066 	 0.43370346505366 	10000
6 9 	 -4.824215349211 	 0.43948695704115 	101110
6 8 	 -4.839555141632 	 0.43926944450310 	101111
6 7 	 -5.055375761491 	 0.43625588155301 	100101
6 6 	 -5.122468398361 	 0.43533650258864 	100111
6 5 	 -5.130050431629 	 0.43523310671299 	100110
6 4 	 -5.207375386600 	 0.43418447195665 	100010
6 3 	 -5.212117377374 	 0.43412053730209 	100011
6 2 	 -5.265873481291 	 0.43339810322327 	100001
6 1 	 -5.267648063678 	 0.43337439261392	100000
7 18	 -4.846513685816 	 0.43917088976719 	1011111
7 17 	 -4.852986948175	 0.43907933011027 	1011110
7 16 	 -4.892481191915 	 0.43852230082008 	1011010
7 15 	 -4.899533634423 	 0.43842315405139 	1011011
7 14  	-5.066612619247 	 0.43610133082427 	1001011
7 13 	-5.071463450907 	 0.43603469441947 	1001010
7 12  	-5.109337358348 	 0.43551580292575 	1001110
7 11 	-5.112872443963 	 0.43546746581787 	1001111
7 10 	-5.141423476725 	 0.43507821416674 	1001101
7 9 	-5.145385385567		 0.43502430470592 	1001100
7 8 	-5.192206424594 	 0.43438937673591 	1000100
7 7	-5.195240060406 	 0.43434836952540 	1000101
7 6 	-5.222349452332 	 0.43398262242142 	1000111
7 5	-5.224145003227 	 0.43395847132515 	1000110
7 4	-5.254756051727        	 0.43354710657729 	1000010
7 3 	-5.255888718979 	 0.43353189630283 	1000011
7 2 	-5.277064157756 	 0.43324840145249 	1000001
7 1 	-5.277498154345 	 0.43324257578467 	1000000
